state,w,b
000000000000000200000200000102000000112000011002031000000220000000001000000000000,2,0
200111000010000012011000000000021000000200001000000000013200011000000021001000002,0,1
001011000000010000000220000100022001110130011100020001000020000000010000000011200,1,0
100000000000000100000102000001000001000002201000020001002320000000000100000000000,2,0
000010000000010000000000000000010001110130011100020001000020200000200000000111000,0,3
000000100000000000001010000100300001112002211100020001000020000000210000000111000,2,0
000001000000000000000200000102000000112000011002030200000220000000010000000000000,2,0
100000000000000000111200100000200100000032011002202201102000000000100000000001000,1,0
000011000000010000010020000000120001000132211100011000000000000000010000000010000,0,1
000110100000010001001002210000010000112200000100020000000020300000010010000111000,1,0
000110000010000000000201000100020001112232211100020001000020000000010000000111000,0,2
010011000000210000000320000100020001012002211100020001000200000000010000100111000,2,0
000011000001000000003200010100100000000200201001002000010001000000000100002110000,0,2
000111000000000100010020000100032001100202201102020001000020000000010000000111010,2,0
010111010100000000000020001000020000102232000000020201000020000100000000000110000,1,0
000111000000010000000020000100202001112032211100020001000020000000000001000111000,1,0
001001000000202000000210000100010000100131101100020001000020000000010000000010000,0,1
000111000000010000000020000100220001110002211001230001000020000000010000000011000,3,3
000011000001000000000120000100202001110030211001202001000020000000010000000011000,0,1
000101000000000001000010000100000001101003001100000001010000010000000000000111200,0,2
000011000000100000000010000002100000000300011002002001000000200200010000010000000,2,0
000001000010100000020000001000000100102000000000020000130020201000202000000101100,2,0
000111000000000100010000020100002001102232211100020001000020000000010000000111000,0,3
000010000001000010010000100003020200102000201000201000001000210100001100000100000,0,1
001000100010000000100020011000230000102202201000002000100020001010010010001010100,0,1
000111000000010000200002010100020001112230201100020001000020000000010000000111000,0,1
000111010000010000000200000102020001100232201001020001000100200000010000000111000,0,2
100011000002010200010000000100220001000232011000020001000000020100010000000110001,2,0
000110000000010000000001000102200100103000011100222100001001000000010000010010000,2,0
000000010201000100010110000000200001000002200002000000020000201000300100000000000,1,0
000010000100010000000100000000000101001000001000010000000101001001000000000000320,1,0
000111000000010000000020000100200201112032211100020100020100000000010000000011000,2,0
000110000000000100000000110000000000000000110000003000010002000001000000000000000,1,0
000111000010002000220000000100020001002200011100000000013021000000000101001010020,0,1
000111000100000000000001000100020001112203211100020001000000000100000000000110000,0,1
000111000000010000020000000100020001112232211100020001000020000000010000000111000,25,17
000111000000000100020000000102000001112232201100020001020000010001000000000111000,0,2
002111000001000000010000000100020001102232201100020001000020010000010000000111000,0,2
010010300000000000000022000000000020112200001000000220000020000000000000000010000,2,0
100000000000000000010010000001000101100000001001130100002021000000000100000000000,0,1
000010111100000000011200000000302000100002001002002001011220000001000010000000211,2,0
000011000000010000000102000001022001110030211001012001000000000000000001000101000,0,2
002111000000200100010320010000002001100000100010000001010010002001000000000101200,1,0
000110001002010000000000000000200001112232211100020001000020000100000000001001000,2,0
000010000001000000010000110000010001002000000000031001010000000001000100000000000,0,1
000010000000000000000202000002000201110230011100020001000002000000010000000111000,2,0
000111000000010000000020000100202001110032211100020001000020000002000001000011000,1,0
000011000000000000002000000001032020112201000100020000000020000000000000000111000,1,0
001000000000000000010001010003000001100000001100000001000000002001000000000110200,2,0
001011000000010000000220000100022001112030211100020001000020000000010000000111000,1,0
000111000000010200200000000100020001112230101100020001000020000000010000000111000,0,2
000111000000000100010002010002002001102200310100002001000000020000000100000110000,1,0
001000100010000010100020101000200300012002200000202000100020001010010010001010100,0,1
000111000010000000000020000100202001112030201100202001000020000010000000000111010,0,2
000010000000000000001101000100200100012000101002000100013200000102010000000111000,2,0
000011000000010000000120000001020001110232011100020001000000020002010200000111000,0,2
101000010000000000101200000000200001102032011000020000010002200000000000000000000,1,0
000111000000010000000220000000120100110102011000030101000002000000010000000011000,0,2
010010100000202310000000210100002100012000000120000000000000000000202000011001001,2,0
000000000000000200000000100000010000100231101000010001000000000000000000000110000,0,1
000000000001000100001021010000203210000002200000101100001000000000000100000010000,0,1
002111000000200100000020010001320001100002001010000001010010002001000000000101200,1,0
000111000000000000000002000100200001112232211100020001000020000000010000000111000,2,0
000010000000000000000002010000020200110202011002000020200030000000000000000010000,2,0
001011000000000000000020000000000201110232200102000000000020100000010000000011000,2,0
000111000000010000000020000100020001112232211100020001000000020000010000000111000,0,6
200000000010200011000000020020001000001030000000000100000101020010100000000000001,2,0
000000000001010000001221100001230100012000001002002000001100100000000000000000000,0,2
000111000000010000000000000100210000112232211100020001020000000000010000000111000,0,2
001000000010000000100020111000230000102202201000002000100020001010010010001010100,0,1
000011000000012000000120000100021000102200210000003200010020100000010000000010000,0,2
102010010020000000002000000000030111100000000100001000101000001002000021010010000,0,2
000000000001000000000101000100000100110001011001230100000000000000000000000000000,0,1
000111000000000100200202010100020100110003001100020100002021000000010000000110000,0,1
000001000000000100000110020001000001100302211102000001000210000000000000000011000,0,1
000111000000010000000220000000120010112002211010020001000320000000000010000111000,2,0
000011000000010000000000000120010000110132211100220001000020000000010000000111000,0,1
000001000000000100010202010100000210100001300100100100000000000000000100000000000,0,2
000010000000010000020000000121000000001000011103100000012001000000000101001001000,0,2
000111000000000000000210000100000001112232211100020001000020000000010000000111000,20,6
000111000000200002000200000000100000101031001000100100100001002000100010000010001,0,2
000111000000012000200000000001020001110200211001000000000112000000000301000010100,2,0
000111000002000000000200000100020001110232211100020001000020000000010000000011000,2,0
000111000000010000000220000100020010112002211010020001000320000000000010000111000,2,0
001000000010000010000120101002000300000002200000000000000100001010000010001000100,0,1
000000000000000000000202000000001000100300001002020000000200000000012000000011000,2,0
001010100010000000100020001000230000102200201000202001100020000010010010000111000,0,1
001010100010000000100020001000200300112002211000202000100020001000010000001011000,0,1
000011000001000000200000010103100001000200201001002000010001000000000100002110000,0,2
010000000000000000020001020000030201102000000100002001000220000000000001010011000,2,0
000010000010000100010000201102030200100002000100021000012220010000010000000010000,1,0
000010000000010000010000000000010001100030011100020001000100022000000000000111000,2,0
001010100010000000100020001000230000112200201000022001100020000000010010000111000,0,1
102011000020000010002000000000031001100000001112001000100100200000100001000010000,0,2
000111000000000100010023010100020000102200201000002201000100200000000100000010000,1,0
000111000000010000000020000100020001112202211100230001000020000000110000000011000,2,0
001000000000000010110020101000003000002000100000001000001000000010000000001000000,0,1
000100100000010000000001000100200001112231011100010000000000000000010000000110000,0,1
000000000000000000100020200000130100001000001000010200000000100000010000000011000,2,0
000111000000000000020000000100030001102200211102000001000022000000000000000111000,2,0
000000100000010010100102100002002000000002001101202001011032001001000010000000210,2,0
000011000000010000000100000000202001112302211100020001000020000000010000000111000,0,2
000000000000000000000100100100010001000000101001130000102021000000000000000000000,0,1
000101010000000001000202000100000001102001001100020001010320000000210000100010000,0,2
000110000000010200002030001020002001101000011100020001000020000000010000000111000,1,0
000011000000000000010002010100020001100230001100020201002020010000000100000011000,0,1
000111000000010000000020000100020001001002201000002001100003010001002000000111000,0,1
100000010100000111110020100002020000002230000000202200010000010001000100000111000,1,0
010000101000202001020000310000000010000002200102000000000001000010200020001000000,2,0
011000000000000000123000101120002000010000101100202001010200000000010000000111000,2,0
000000000001000010010200100003010200100202201000000000001000210100000000000000000,0,1
000010000000100100000000000100131001111000011010000020000000000201000000000011000,0,1
000111000000000000000210000100200100110300101001200100000020000000010000000011000,0,1
000100000001000100000220020000000301100000011110000000010000000001000100000000000,1,0
010011000000010000000020000100020001012232211120200001000000000100010000000111000,2,0
000101000000010000000000000100012201100103200000220201000220100000010000000101000,2,0
000111000000010000000020000100202100112230011100020100000100200000010000000011000,0,2
000000100010000010100102001002000000000230001000000000100000001001000010001011100,0,1
000010100100000010001102100000202000000002001100302201011220000000000001001000011,2,0
000111000000000100010020010100020001102202000000000000000203020000000100000101000,1,0
002111000003000000010002000000100000100002211000020001001020000000010000000011000,0,1
000111000001000000010020010000222001100032001101000001000200000001000000000011000,0,1
000001100000000000000010100100000000110200011120003000000022000000010000002111000,0,1
000010000001000000010000100102201001000003001000010000000100000001000100000011000,0,1
000111000001000000000020000100020001112232211100020001000002000000010000000111000,0,1
000010000000100100000000000100131001111000011010000020000000000021000000000011000,0,1
000010000000010000000101000101000000110200211100030001002000200000002000000111000,0,1
000000000000000100010001000100202000102200211000132001002000000000000100000001000,1,0
000110000010010000000020000100020001102231001100020001000002200000000000000111000,2,0
000000000000000000000200000002001000110200201100023001000002000000010000000111000,2,0
000111000000010000000020000100220001100132211120010000000000000000010000000011000,0,1
010000000000110010002020001002001000110030001110220201000022000000000000000110000,0,2
000010000001000220010000000100231000102202000100020000000000000000000000000000000,1,0
000011000000012000000020000100130001110102011000010100000000200000010000000011000,0,1
001001000000000100200010000100000100102202011102110301010001002000000100000000000,0,2
000010111100000000011200000000302000100002001002002001011220000100000001000000211,2,0
000110000000010000000000000102010000112201011102031000000020000000010000000110000,0,2
000010000001000000000020010000022200102030001000202000012000010000000001001010100,1,0
010000011100000110010002000002200201102230000000202000010000110001000000000111000,1,0
000000001000000101000000010000000000000100000000023000010002110000000100000000000,1,0
010001010000100200000000100100110000100131000000020001000100000000011000000010000,0,2
000000010000010000002000010000200100103000011120202201000201000001000000000110000,1,0
000001000000000100100000000002022000110230211100002001000020000000000100000111000,1,0
200001000001000000000100000001202001100032001100000001000012010000000100000101000,0,1
000101000001000000013200000102001000000000011102001000000000000000010002000111000,0,2
001010100000010000100020001000230000112002211000202000100020001000010000001011000,0,1
010010100000202301000000210100002100012000000120002001000020000001010000011001000,2,0
000010000000010000000200000000020201110232011002020000000002000000010000000010000,2,0
000001000010002000000100301001202000100001001100000001000101000000010000000010000,2,0
000111000001000000010200010100002001102032001100220200000020000001000000000111000,1,0
000100002000000100001001010100202000012000300000002211100200000000010000000111000,1,0
000000100000010010100102100002002000000002001101232001011002000001000011000000210,2,0
000011000002010200110000000100220001000202011000000201000030020000010000010110001,2,0
000111000000010000000020000100020001112202201100000001000002010000010000000101300,2,0
000010000000001100001102010012200021003000000011200201000122010000000100000011000,0,2
000010100000000000000020000000222200100030001000200200000020000000000001001010010,1,0
000111000001000200000020000100020001110030001100202201002021010000010000001010000,0,1
000110000000000000101020100001201100001003010101000000020210100000010020000100000,0,1
000111000001000000010000020100002001102232211100020001000020000001000000000111000,1,0
010000000000110010002020000010001001112030001110220201000022000000000000000110000,0,2
000000011110000101110020001002020000002230000000212200001000010001000100000101000,1,0
000010000000010000000100000101000000102000211100230001010001200000000000000111000,0,1
000001000100000000000100002001010001100300001102000000020000100000010000000111000,0,1
100001000000000000102010000000010000101132211001010001000010200002000000000011000,0,2
000011000000010000200000000100020001110130211100222000000020100000010000000111000,0,2
000100100000010010020001000100020201012202001102000000020030000000010001000110010,2,0
200000010010200001002000000020100000001030000000000110000101000000100000010000021,2,0
000101000000010000000002200000001001100103200000220201000221100000010000000100000,2,0
000011000000000100010000000002103201000002201102010000000000010000000100000011000,0,1
000111000000000100000020010001220001113002201002020001000200000000010000000011000,2,0
000111000000010000000020000100020100112232011100020001000020000000010200000111000,0,1
000110000000010000000020000001221001100000101002300000001002000000000100000011000,0,1
010100100000202310000000210100002100012000000120000000000000000000202000011001001,2,0
000101000000010000000001000001202000110203201102020001000020010000010000000111000,1,0
000010002000000100000101000001203001110200211001020001000122000000000100000011000,0,2
000001000000000000010202010100000001100030001100020201002020010000000100000011000,0,1
000111000000010000000020000100020100112200001100020200000023001000010000000111000,0,2
000000000010000020100001000002000000102030100100201001012001100000210000000010000,0,1
000111000000000100010020000100020201102200101100020001000023200000000100000110000,1,0
000111000000010000000200000100020001112232011100020001000020200000010000000110000,6,0
000010010000000200210000000020100011110130101100010000000202000000010000000011000,0,2
101001000000002000101200000000200001002030011100020001010002200000000000000000000,1,0
000111000000000100002000000000020001112232211100020001000021000000010000000110000,0,2
000010000000000000000000000100010001101001001120100101000023000001000000000110000,0,1
001000100010000010100020001000200000102200200000000000100013000010000010001000000,0,1
000111000000210000010020000100020001103102211000020001000020000002010000000111000,0,2
000111000001000200000020000100020001102232011100002001010020000000010000000111000,0,1
003101000000000000000201000100000001112202211100020001000020000000010000000111000,2,0
000001000000000000000210000102132001100001011110010000000000000000000000000010000,0,2
000000110020000000002000010002020010000131000120002001000100000000000210110010200,2,0
100111000000000010020000000000000001100232211102020001000101000012010000000010000,0,2
020101000000000100000001010100010000112003100100201000000000000100000000000101000,0,1
000000000000000100010000000000100000100000001000100000011320210000100000000100000,0,1
000111000001000100010000010000000000102200001002002001010320000001100100000001000,1,0
000101000000010000020000000100030001112202211100020001000020000000010000000111000,0,2
000000000000000000112001020100000000002030100102001001002101100000210000001010000,0,1
100000000000000000001001000001000101001000000001131000002021001000000001000000000,0,1
000000000000110010010020001002031200101002001110020010000002000000200000100010000,0,2
000111000000000100000020000100200001112232211100020001000020000000010000000111000,2,4
000111000000010000000020000100020001110230101001020001000020000002010200000111000,0,2
000010000002010000000101000003000101101002011100000100010000000000000001000011000,0,1
000010000000010000000000100100120001100131101120010000000000000000010000000010000,0,1
000010000000010000020100000100020201110130011100020001000001000000010000000011000,0,2
000001010000010000002000000102120001112032210100111000000000001000010000000010000,0,1
000111000000000000000100000002010100110030011000010100020000000001000000000110000,0,1
111000000000000000100201000002022001000130211100022001000020000000010000010011000,1,0
000010000000001000100020000000000021000000000001020200103000001000000100002000000,2,0
003111000000010000000020000000002001112202200100021011000020000000010010000110000,2,0
000010000000100000000001000000110000110031011001200021000200000001000000000010000,0,2
000100002000000000002010100000210000100003200000002201000221100000010000000100000,2,0
000111000000010000000020000100220001110002211001200301000000002000000100000010010,1,0
100001000000000000000020000002201000110232211100020001000020000000010000000111000,2,0
101000010000002000101200000000020001002030011100021000010002200000000000000000000,1,0
000010010000000100010020000120100000100000201120000001000023010000002000000111000,1,0
001011000000010000000020000100020001112202201100000001000002310000000000000110100,0,1
001000000100000000001100100002000001002202211100232001000001100000000000201100000,1,0
000000100000000000000010000000001321112200101100020001000020000000010200000111000,2,0
000110000100000000000020200000202001113002001100202001000020010000000010100011000,1,0
000111000000000000001020100001020001100230210101000021200001100000010000000100000,0,1
000010000000000000000200102100000100112201000100020200000023010000010000000111000,0,1
000011000000010000000020000100020001100002211100120001300020000002010000000111000,1,0
000011001001000000110320100000002000100202010002020201000020000101000100100001010,2,0
010001020000000000000110020102000100110232001001020000000100000000010000000011000,0,1
000111010000010000000020200100220001010032001001220001000000000100010000000011000,1,0
000111000000000000000201000000100000000100100000000200000102310000000101000000000,0,2
022001000200010010300000100000000001000001000000020000000221100010010000010110000,2,0
012011000000012000000000020100020001000101311100220001000020000010100000001010200,0,2
000110000001000000010000010100200100100301001102202100000101000001000000000010000,0,1
000011000000010000000020000100020001110132211100000001000210000000200000000111000,0,2
000010000100000000000021000000020001001300011001010000001000000000001000000010000,0,1
100000000000200000300000010002000000000000001002002001000100000200010000000000000,2,0
000111000000010000000020000100220001112032211100210000000000000010000000000111000,1,0
000110000000010000000201000001302001010001000001100100000000000000000000000110000,0,1
001000010000000000000100102000131000110000001000000100000001200001000000000111000,0,1
000100100002000000020300010000000001111002211100020001000020000000010000000111000,0,1
020010100000000001001000000003000201112202201100020001000020000000010000001010100,2,0
000110000000010000000000000000010001110101001000000001100010000000000100023000000,1,0
000111000000000100012200010000002001000200310102002001010000020000000100000100100,1,0
110011000000000000000200001102022000100030211100202001010020000000010000000111000,2,0
000000100010000010001000001000010000000300000000100100000000000010000010001000000,0,1
000000200000010000011221100001020100002000000000200100103002010100000000011100000,0,2
000001000001000100010000000000003210000002201102200100000000010000000100000011000,0,1
000000000000000000000010010000011101110100011001013100000001000000000001000000000,0,2
000001000001000100010000010002003210000002200100201100001000000000000100000010000,0,1
000111000000012000000020000100220001112030211100002100000000000010000000000111000,1,0
000010000000000000010001000100000100100001000001021000000123100000000000000110100,0,1
000110000000010000000020000100020201112203000100000201000020000000010000000111000,1,0
002010000010000000000111000100000001100200001103010001000000020001000000000110000,0,1
000010111100000000011200000000302000100002001002000001011222000001000010000000211,2,0
000111000000000000000201000000002001100200001000020200000000310000000101000110000,0,2
000100000000000001000010000100000001101001301100000001010001010000000000000110000,0,2
000111000000010000000020000100202001110230011002010100000000000000010000000110000,0,2
000000001111000111100202010000103000000000000000000100000002010000000100000000000,1,0
001001000000000100010000000100000100102202211000020201010300000001010000000100000,0,1
000110000000011000000220000100020100110000101020031021000000000000000000000010100,1,0
010001200000010000000100020100020100112232011100020000000102000000010000000011000,0,1
000010000000000000000000000100010001110131101100200021000020000000010000000110000,0,1
000011000100000000010103010102000100001000201100022001000101000000010000000010000,0,1
100000000002000000010111000000000101102200101100030100200100000000000100001000000,0,1
000001000001000000010020010100022001102000301100222001000020010000000100000111000,1,0
000111000001000000000020000100200001112232211100020001000020000000010000000111000,2,0
001011000000010000100000201000002000112232211100020001000020000000010000000111000,0,1
000111000000000100000002000100200001112232211100020001000020000000010000000111000,0,2
000011000001000000010100010100020001102000100100203001020000000001000100000010000,0,1
000111000000010000000200000100021000112030211002020000000200200000010000000010000,2,0
000000010111000111100220010003001000000000000000100000002000010000000100000000000,1,0
000111000001000000000022000100020001112231001100020201000020000000010000000111000,0,2
001000100010000010100020100000203000102200201000022000100020001010010010001010100,0,1
000010000000010000000100010000000101110000001100020000000020002000200301000110100,0,1
001000100010000010100000001000000000000000100000022000113022001012200010001000100,0,1
000000100000000000000000020100200200012030201000010000000200000000010000000100000,2,0
000000010000000110001100200002002000100002001011230021000102000001000101000000011,2,0
000011000001000100010000010000001001010000000000131000010000010001200000000000000,0,1
100011000000000000000020000002000021110232211001020001000020000000010000000111000,2,0
000110100000000020001020000100021000110030201100002001022021100000010000001010000,0,1
000111000000200000020010000100000100112302211100020001000120000000010000000011000,0,1
000110000000010000000001000100202000112230211100020001000020000000010000000111000,2,0
000010000000010000000100000001010000110300211001110000000000000000012000000011000,0,1
000000000000000200002100000001003201100000200000202100000221000000010000000000000,2,0
000000000000000000010000100001030210002202200002002000001020010000000100000011000,1,0
000110000001000000010000200000002201000000000000030210010000010002000100000000000,1,0
000111000000000000010200100001232100100002201001020001000020010000010000000111000,0,1
000111000000000000010200100001232100100000201001020001000020010000012000000111000,0,1
000111000001000000000020000100220001110030211001202001000020000000010000000011000,0,1
100011000002010200010000000100220001000232011000000201000000020000010000100110001,2,0
000011000010000000200100100100020001001002211100032001002020000000000100000011000,1,0
001010000000000100000021000100202001113000001000210001000002010000000000201010000,1,0
100000000001000100002103010120002001000002201000020001000020000000000100000100000,2,0
000110000000010000000201000102000100112032211100220001000020000000010000000111000,2,2
000010111100000000011020000000302000100202001002002201010020000100000010001000011,2,0
000000000010000000000010100001003210002202200002002000001020010000000100000011000,1,0
000010000020000100010301010001002001102202001100020001000101000000010000000010000,0,2
000000000021000000000000000003010000002000000000000000000100010001000000000000000,0,2
000110000000000000000201000001010001110031001001000100000200000000010000000110000,0,2
000111000000010000000020000100020001102232211100200001010020000000010000000111000,2,0
000110000000010000000101020102000100102200001001030100000101020000010200200010000,0,1
000010000000010000000100000000011010112200211100030001000002200000000000000111000,0,1
000111000000012000000020000100020001102200211103000001010002000000000000001010100,2,0
000001000010100000020000001000000100102000000100020000000320201000202000000101100,2,0
000010000001000000000002020100030001112200211100020001000020000000010000000111000,2,0
100000000001000100002200010003000200000202000000000200020100100000000000000000000,1,0
000011000000010000000122000001200100100030011001222100000000000000010000000011000,0,1
000111000000000001000000000100020001112232211100000001000010200000000000000111000,0,2
000101000000010000000000010000202001110030211102202001000020000000010000000111000,2,0
100000000000000021010020000002000000100030201000000020000020000000012000000111000,2,0
000000000000000100000001000000202000112230211000102001000102100000000000000011000,1,0
001000100010000000100001001000000000100230011000020000100002201010000010001010100,0,1
000000000002000100102110000000032100002000001100100001010000010001000000000001000,0,2
000111000000002100000000000100020001112230211100022001000020000000000100000111000,2,0
000111000000000000000000002001030001112202211100020001000020000001000000000111000,0,1
000010000000010000010001000100000100102000010100000200010200301000000100000011000,0,2
000011000000010000002000000001200001000032211102120001000020000100000000010111000,2,0
000111000000010000000020000100020001100302211100020001000020000002010000000111000,4,1
000010000000010000000131010000000000110000001100020100000000202000000010000110100,0,1
001000100010000000100001011000302000102000201100020001000020000010202000000111000,0,1
000010000000010000000131000100200100102001001100210100000101000000000000010010000,0,2
000010000001000020000100200100231000112200011100020000000020000000010000000000000,2,0
000111000001002000000000000100000000112203211100020001000020000000010000000111000,1,0
000000000000000100010000000000100000100000001000100200011321010001000000000100000,0,1
001010000000000001101200200100300000012000200100020001000020000000202000000111000,0,2
000101002000000100001000301100202000012000000000202211100000000000010000000111000,1,0
001000100010000010101020301000220000002002200001002000000110101010000010001000000,0,1
000010010100000001001020100000102000000002001102302201001220000001000010010000011,2,0
000111000000010000000020000100020001112232211100200001000020000000000100000111000,0,2
103010100000000000000200000100000001112202211100020001000020000000010000000111000,2,0
000011000000010000000200000001001000110200011101030200000000000000010000000110000,0,2
000111000002010000000020000001020001110232211100020001000020000000010000000111000,0,1
000010000000010000002020000100020001110200201001021301000100110000000000000010000,0,1
000111000000010000000020000100020001112202211100030001000000200000000000000111000,0,1
000111000000010000010020000100020001102202211120030000000020000000000101010011000,0,2
000111000001000000010020000102020201001032011000010000000100000000000100000011000,0,1
100010000001000000020030010120002001000002201000020001000020000000000100000111000,2,0
000000000000000000000000000102211001000130000001000000000020000000010000000010000,0,1
000011000000000000000112000001000100000130011001022100000000000000000001000001000,0,1
001010000000010000000000000000102001000200001000010000103000100100000100001010000,0,1
000011000000000000000020200001132000100000100000001001000100000000010000000010000,0,2
100111000000100001000202000000220000110232201000001100000000000110000000000110100,1,0
000000000200000000000301100000200000002200000000020001000020000100000000000111000,2,0
002111000000202000020000000100010000100131101100020001000020000000010000000110000,0,1
000111000000000100010020010100202201102230001100020001000020000000010000000111000,1,0
000010000000000000000111000100000001100102211102000301000000020000000100000011000,0,1
000110000001000000010020200100020001102203201100020001000020010000010000000111000,1,0
000111000000000000001020100001002001100230211101020000200001100000000000000110000,0,1
000101000000010000000000000100012200100130201002022001000220000000010000000111000,2,0
001001000002000000013200000001020001012002211000020001000200000100010000100111000,2,0
000000000000000000000002000002100100000000100000013000000000100000000000000000000,0,1
000010000000000100001000000020020000100301011000000101010000000001010000000101000,0,1
000010000000100000000001000000110000111000011000000001023010000001000000000000000,0,2
001000000001000100010000010000000201000232200000020000010002010001000100000100000,1,0
001000012000000000000100100000030000110100011000002100001000200000012000000111000,0,1
000011020000010000012000002001120001000300011000202001000120000000010000000011000,1,0
010000000001000100002200010000030200000202000000000200002100000000000100000000000,1,0
000010000000000100010000010000002000000030000001200000000020200001000000000000000,1,0
000000001010100000000110000101000100103100100000010000000000000000000000000011000,0,1
000111000000000000000000000000210100112302211100020001000020000000010000000111000,0,2
010000000000000000020100020000032011102000001100002000000220000000000001010011000,2,0
010000000000000000020100020000030201102000000100002001000220000000000001010011000,2,0
000010000000011310200000000100020001110100201100222100000020000000010000000111000,0,2
000111000000010010000200000100020001100302201100020001002020000001000000000111000,0,1
000000000001000100000101010000003210001102200000001100000000000000000100000010000,0,1
000000000000000100000101000000202000100230211000002001000210100000000000001001000,1,0
000101000000000000000001000001202000110003201102020001000020010000010000000111000,1,0
000111000001000100010020010000022001100032001100002001000200000001000000000010001,0,1
111001000000000000100200000002022001000130211100022001000020000000010000010011000,1,0
000111010000010000000020000100020001102232201100020001010020000000010000000111000,0,2
000111000000010000000020000120002100102000011103002100010000000100200000000110000,1,0
000000000010000010000100001000200000000000000001000100113002001012200010001000000,0,1
010111010000010000100020000000020001102232001000120201000020000100000000001010000,1,0
200111000010000012010000100000021000002000001000000000013200011000000021001000002,0,1
000111000000000000020320000000000101112002011100020100000100000000010000000110000,2,0
000110010000010000000020000100220201112003211100101001000020000000010000000010000,0,1
001000000000010000000000010000010000110000001003100000002010100000000000000011000,0,1
000011000000000100001120010000000021112200201100020001000023000000012000000110010,2,0
000100100001000000000221020000000301100000011110000000010000000001000100000000000,1,0
000111000000000020001020000100021000110030001100002201022021100000010000001010000,0,1
010010000000000000101001100001010000000003010101000000000001000020200100000001020,0,1
000111000000010000000020000100020001101032211102020001000020000000010000000111000,1,1
000010000100010000000101000000000101001000001100000321000120000001000000000100100,1,0
001000000010000010100000001000000000000000100000020000113022001012200010001000100,0,1
000000000001000021000001000102202000100003100000122001000020010000000000000111000,1,0
000000000010000010100000001000000000000000000001020100113020001012200010001000000,0,1
000000000000000000000120000000000100112202300001021200000100000000010000000010000,2,0
000010000100010000000101000000000101001000001100000321000120000001000000000110000,1,0
000001000010100000000100000100200100100300101001200100000020000000010000000011000,0,1
000000000000010020000101000001010000110100010100002100000023100000011000000010000,0,1
000000000000000000000110000001000100110200101001010100010301000000100000000010000,0,2
000111000001000000000020010103000001102200201100202000010001000000000100000110000,0,2
000000000000000000000202000000100000101000011002320000000200000000012000000011000,2,0
000111000000010000000220000100020001110102211000030021000020000000010000001011000,0,2
000101000100000000000010000000012000110103211102002100000101000000000000000010000,0,1
001011000002010000012002000101000200100000000001020100000130010000011000000010000,0,2
000111000000200000000000000100012000112231001100002001000020000000010000000110000,0,1
001000100010000000100020101000203000102002201000202000100020001010010010001010100,0,1
100000000000000000111200100002202001100030011000202001000020200000010000010010000,1,0
000110000000000000000111000100000001100002011100320001000020000001010200000010010,0,2
000111000000000000000000000002102001112302211100020001000120000000010000000011000,0,2
000011000000000100010120010001002000000200000000000200010203100200000002000001000,1,0
000111000000010000000000200120030001112202210100020001000020000000000100000111000,1,0
001000000000000000000100100100010001000100101000300000102021000000000000000000000,0,1
000000000001001101110120010001020200002200000000003200000020211000000100000000000,1,0
100000000001000020000000000100230020102202000100020000000000000000000000000000000,1,0
000000010000010000000002010001200100100030011120202201000200000000010000000111000,1,0
010010000000000000101001100000010000000003010101001000000001100002000000100000200,0,1
000111000010010000020000010000020001102200200100020000000020301000010020000110100,2,0
000011000000001000000100000000010100001300011000100001000002000000000000000001000,0,1
000011000000002000000100010001010000112200201100020000000020301000010000000111000,0,1
000010000000010000000000000000010000110131001001120000000000000000000100002011200,0,2
000110000000010000000021000100200001112231011100020001000020000000010000000110000,1,0
001011000000010000000020000100020001102202211100203001010000002000000100000111000,0,2
000000000001000200000000000100000301112200211100020001000020000000010000000110000,2,0
000111000000010000002000000000220001112002201100030001000200010000000000000111000,2,0
000011000002300100010020010000002001100000201000202001010000010000000100100010000,0,1
000111000000000000001010000100200001113000211001202000000000000000010000000001000,0,1
010000020000000000000011200001000100100130000001000100000111000000000000000010000,0,1
000000011110000101110020001002020000002030000001202200000000010001000100000110000,1,0
000000000001100100000000000000101000100032010000010001010100000000000100000011000,0,1
000011000100000000000200000000002001001300011100200001001000000000001000000010000,0,1
000110000000000000002000000100020100000001001101000301000100100000000000000010000,0,1
000011000000010000000100000000010001100030211001002001000020000000000000000001000,0,1
000010000000010000000101000102202001100030011100202100000020000000010000000110000,0,1
000010010000000100001120000000000021112000001100020200000020310000200100000110002,2,0
000110000000010000000230000100202011102000201100220001010020000100010010000100000,2,0
000101000001010000010000020100032001102202001100020200000020010000000100000111000,1,0
000111000002010000000020000100220001110032211001002000000101200000010000000010000,0,2
000111000000010000000020000100220001110030211001202001000020000000000001000011000,1,0
000111000000000001010020000100003000112000211100020001000020000000202000000111000,1,0
000111000000000100010020010102202201103000001001002100000201000000000100020000000,1,0
000001000201000100010100010000200001000302201002000200020000000010000100000000000,1,0
000011000000012000020100000100020001112230211100020001000020000000010000000111000,0,1
000111000000010000000022000100020001112230011100020100000020000000010200000111000,0,1
000010010100000001011200100003002000000002001102002201001220000001000010010000011,2,0
000011000000010000000100000000012001100030011000012001000000000000000000000001000,0,1
000000000000000000000100200000100000112202300001021200000100000000010000000010000,2,0
000010000000010000000131000001000021110202011100020100000000020002010200000111000,0,2
000110000000010000000000000102100000102202001100000301000002000000000000000100100,2,0
000110000000012000000200000000010100112232011100020001000020000001000000000111000,0,2
000100100000000000000010100100000000112203011120000000000022000000010000000111000,0,1
